epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2552,0.93924,1.60056,1.32546,1.00939,0,0.74422,0.67456,0.75983,0.57547,0.74536,0.67186,0.75707,0.55396,0.91185,1.54435,1.11327,1.01839,0,0.000663333,0.000663333,0.000663333
2,98.7922,0.85314,1.36908,0.89968,0.97074,0,0.78461,0.74688,0.81657,0.62457,0.78417,0.74647,0.81296,0.59199,0.84981,1.55089,0.86632,0.99677,0,0.00128611,0.00128611,0.00128611
3,144.177,0.8531,1.36195,0.84083,0.96756,0,0.7409,0.70179,0.77266,0.5916,0.73983,0.69908,0.76968,0.56079,0.85948,1.49837,1.07863,1.00269,0,0.00186489,0.00186489,0.00186489
4,189.537,0.81509,1.30827,0.78534,0.95766,0,0.81255,0.766,0.84508,0.66302,0.81018,0.76413,0.84159,0.63194,0.80611,1.38774,0.75153,0.97828,0,0.001802,0.001802,0.001802
5,234.307,0.79298,1.26286,0.74117,0.94632,0,0.77796,0.74996,0.80548,0.61567,0.77792,0.75187,0.80611,0.58352,0.82014,1.40171,0.79652,0.98074,0,0.001736,0.001736,0.001736
6,278.673,0.78874,1.24529,0.72814,0.94906,0,0.79233,0.79603,0.85518,0.66842,0.79336,0.79707,0.85363,0.63664,0.79484,1.3221,0.72578,0.97577,0,0.00167,0.00167,0.00167
7,324.865,0.77236,1.22136,0.69813,0.94036,0,0.79856,0.77224,0.84817,0.66192,0.79835,0.77203,0.84863,0.62187,0.82026,1.3877,0.96887,0.99246,0,0.001604,0.001604,0.001604
8,369.831,0.76476,1.20919,0.68467,0.9334,0,0.81376,0.78159,0.86532,0.68561,0.81423,0.78425,0.86413,0.64654,0.75441,1.24494,0.71381,0.95343,0,0.001538,0.001538,0.001538
9,414.78,0.75519,1.18062,0.66828,0.93329,0,0.82966,0.79551,0.87539,0.69644,0.83164,0.79245,0.8746,0.66184,0.7523,1.20259,0.66699,0.95543,0,0.001472,0.001472,0.001472
10,459.431,0.73779,1.1544,0.65484,0.93339,0,0.80915,0.78242,0.86233,0.69264,0.80842,0.78222,0.86069,0.65992,0.75566,1.19893,0.66191,0.9558,0,0.001406,0.001406,0.001406
11,505.531,0.72929,1.12502,0.65625,0.92596,0,0.78899,0.80673,0.8521,0.6764,0.78895,0.80819,0.85136,0.64153,0.77142,1.26997,0.67737,0.97091,0,0.00134,0.00134,0.00134
12,552.025,0.72364,1.11827,0.63809,0.92766,0,0.81056,0.79426,0.85315,0.66974,0.8116,0.79426,0.8522,0.63081,0.75334,1.23696,0.68185,0.95863,0,0.001274,0.001274,0.001274
13,598.168,0.72025,1.12371,0.62652,0.92182,0,0.8135,0.81276,0.87935,0.70561,0.81783,0.80979,0.87835,0.67501,0.7397,1.19884,0.62646,0.9454,0,0.001208,0.001208,0.001208
14,645.392,0.70969,1.10302,0.60728,0.91876,0,0.824,0.81692,0.88678,0.7145,0.82482,0.81702,0.88634,0.67635,0.71808,1.18148,0.61943,0.94088,0,0.001142,0.001142,0.001142
15,692.284,0.69724,1.10067,0.60612,0.91425,0,0.81456,0.78595,0.86667,0.69736,0.81725,0.78344,0.86489,0.64947,0.73068,1.24355,0.64362,0.95125,0,0.001076,0.001076,0.001076
16,738.048,0.69713,1.08975,0.59295,0.91474,0,0.80986,0.80653,0.87552,0.71284,0.81185,0.80435,0.87442,0.67525,0.71734,1.1406,0.62009,0.93882,0,0.00101,0.00101,0.00101
17,783.983,0.68847,1.08349,0.59415,0.91208,0,0.8201,0.82107,0.88526,0.71798,0.82166,0.81816,0.88311,0.67739,0.70568,1.13372,0.60073,0.93625,0,0.000944,0.000944,0.000944
18,829.671,0.6895,1.04337,0.58286,0.9108,0,0.83164,0.81234,0.89116,0.72066,0.831,0.81172,0.88904,0.67577,0.72453,1.13823,0.60113,0.9404,0,0.000878,0.000878,0.000878
19,875.737,0.67967,1.04446,0.56514,0.90745,0,0.81408,0.80893,0.88148,0.72022,0.81977,0.80536,0.8814,0.68204,0.69799,1.13047,0.62715,0.93424,0,0.000812,0.000812,0.000812
20,922.66,0.67205,1.053,0.56042,0.90688,0,0.80265,0.83229,0.88504,0.72152,0.80305,0.83271,0.88401,0.6813,0.7102,1.13004,0.59413,0.93375,0,0.000746,0.000746,0.000746
21,960.692,0.63133,1.01102,0.54599,0.89688,0,0.82219,0.80528,0.88057,0.71891,0.82219,0.80528,0.87801,0.67702,0.69818,1.11865,0.59778,0.93696,0,0.00068,0.00068,0.00068
22,998.596,0.63047,0.99518,0.52749,0.89871,0,0.82468,0.82014,0.89184,0.73173,0.8251,0.82056,0.89151,0.68948,0.69641,1.12921,0.57665,0.93944,0,0.000614,0.000614,0.000614
23,1037.94,0.61729,0.98514,0.51314,0.89292,0,0.83042,0.80362,0.88198,0.72878,0.83085,0.80403,0.88052,0.68841,0.68268,1.12365,0.59844,0.92648,0,0.000548,0.000548,0.000548
24,1075.94,0.61371,0.96659,0.50728,0.89053,0,0.82908,0.81047,0.8905,0.73393,0.83266,0.81172,0.89095,0.69438,0.68384,1.11277,0.5819,0.9325,0,0.000482,0.000482,0.000482
25,1113.84,0.60817,0.96387,0.50199,0.88742,0,0.83242,0.80964,0.89341,0.73872,0.82947,0.81166,0.89232,0.69301,0.6782,1.1083,0.56145,0.92955,0,0.000416,0.000416,0.000416
26,1151.91,0.59872,0.94937,0.4943,0.88747,0,0.83778,0.8032,0.8899,0.735,0.83437,0.8086,0.89027,0.69502,0.67677,1.10066,0.56304,0.92742,0,0.00035,0.00035,0.00035
27,1190.14,0.59343,0.94382,0.48704,0.88347,0,0.82075,0.82782,0.89622,0.73984,0.81883,0.82897,0.89555,0.69381,0.68236,1.09414,0.56397,0.92967,0,0.000284,0.000284,0.000284
28,1227.78,0.58685,0.92622,0.47521,0.88184,0,0.81922,0.83437,0.89767,0.7443,0.81882,0.8352,0.89643,0.69841,0.66928,1.07658,0.54914,0.92551,0,0.000218,0.000218,0.000218
29,1265.83,0.58138,0.91739,0.46969,0.87883,0,0.83052,0.82751,0.89884,0.74602,0.83109,0.82721,0.89869,0.70135,0.66135,1.07224,0.54294,0.92418,0,0.000152,0.000152,0.000152
30,1303.79,0.5744,0.90123,0.46389,0.87958,0,0.82131,0.82429,0.89565,0.74302,0.82125,0.82461,0.89501,0.69903,0.66733,1.07714,0.54597,0.92657,0,8.6e-05,8.6e-05,8.6e-05
